Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P103_Exp3,NA,18,F,3,9,17,67,10,2,14,1,1043.31663779431,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,17,68,9,1,13,1,315.334691072167,26,High,230,NA,600,NA
Exp3,P103_Exp3,NA,18,F,3,9,18,69,11,3,15,1,5097.21778245466,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,18,70,10,2,14,1,2542.79005367243,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,18,71,12,4,16,1,848.734371891624,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,18,72,9,1,13,1,752.171612391976,26,High,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,1,1,1,1,4,4,8,1,6867.05071099732,15,Low,517,NA,273,NA
Exp3,P105_Exp3,NA,20,F,1,1,1,2,2,2,6,4,10908.242302914,15,Low,570,NA,237,NA
Exp3,P105_Exp3,NA,20,F,1,1,1,3,1,1,5,1,5848.33126660942,15,Low,536,NA,227,NA
Exp3,P105_Exp3,NA,20,F,1,1,1,4,3,3,7,3,6285.21751309745,15,Low,499,NA,283,NA
Exp3,P105_Exp3,NA,20,F,1,1,2,5,4,4,8,1,2739.63086344793,15,Low,400,NA,3,NA
Exp3,P105_Exp3,NA,20,F,1,1,2,6,2,2,6,1,3836.69432494207,15,Low,712,NA,23,NA
Exp3,P105_Exp3,NA,20,F,1,1,2,7,1,1,5,4,10580.9273209588,15,Low,250,NA,204,NA
Exp3,P105_Exp3,NA,20,F,1,1,2,8,3,3,7,3,4668.37146206854,15,Low,270,NA,290,NA
Exp3,P105_Exp3,NA,20,F,1,2,3,9,2,2,6,1,19490.6707655009,15,Low,327,NA,190,NA
Exp3,P105_Exp3,NA,20,F,1,2,3,10,4,4,8,3,13020.3389144926,15,Low,314,NA,173,NA
Exp3,P105_Exp3,NA,20,F,1,2,3,11,1,1,5,1,2771.41202096573,15,Low,287,NA,100,NA
Exp3,P105_Exp3,NA,20,F,1,2,3,12,3,3,7,2,12572.5652406472,15,Low,310,NA,210,NA
Exp3,P105_Exp3,NA,20,F,1,2,4,13,2,2,6,1,8125.3487973363,15,Low,483,NA,193,NA
Exp3,P105_Exp3,NA,20,F,1,2,4,14,4,4,8,1,1264.36966540859,15,Low,227,NA,270,NA
Exp3,P105_Exp3,NA,20,F,1,2,4,15,3,3,7,2,9406.20294782821,15,Low,170,NA,283,NA
Exp3,P105_Exp3,NA,20,F,1,2,4,16,1,1,5,1,5109.79041370319,15,Low,393,NA,3,NA
Exp3,P105_Exp3,NA,20,F,1,3,5,17,2,2,6,1,3497.12811955578,15,Low,287,NA,250,NA
Exp3,P105_Exp3,NA,20,F,1,3,5,18,1,1,5,3,10462.4168229284,15,Low,127,NA,270,NA
Exp3,P105_Exp3,NA,20,F,1,3,5,19,4,4,8,1,2091.47787438633,15,Low,213,NA,326,NA
Exp3,P105_Exp3,NA,20,F,1,3,5,20,3,3,7,1,1592.52924705652,15,Low,274,NA,236,NA
Exp3,P105_Exp3,NA,20,F,1,3,6,21,1,1,5,1,1240.76343601701,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,1,3,6,22,3,3,7,1,1470.91775808622,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,1,3,6,23,4,4,8,1,980.738116138127,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,1,3,6,24,2,2,6,1,1613.63699479534,15,Low,574,NA,3,NA
Exp3,P105_Exp3,NA,20,F,2,4,7,25,5,1,9,1,5563.72682784331,15,Low,280,NA,190,NA
Exp3,P105_Exp3,NA,20,F,2,4,7,26,7,3,11,2,4876.17166322707,15,Low,177,NA,230,NA
Exp3,P105_Exp3,NA,20,F,2,4,7,27,8,4,12,1,3578.36514719202,15,Low,180,NA,67,NA
Exp3,P105_Exp3,NA,20,F,2,4,7,28,6,2,10,1,4059.96899310867,15,Low,153,NA,203,NA
Exp3,P105_Exp3,NA,20,F,2,4,8,29,5,1,9,1,1770.98489138552,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,2,4,8,30,8,4,12,1,6684.04394816207,15,Low,357,NA,103,NA
Exp3,P105_Exp3,NA,20,F,2,4,8,31,7,3,11,1,1081.50688901151,15,Low,250,NA,237,NA
Exp3,P105_Exp3,NA,20,F,2,4,8,32,6,2,10,1,2829.73920645054,15,Low,364,NA,76,NA
Exp3,P105_Exp3,NA,20,F,2,5,9,33,7,3,11,1,3645.56425176033,15,Low,224,NA,173,NA
Exp3,P105_Exp3,NA,20,F,2,5,9,34,8,4,12,1,5858.62161812929,15,Low,408,NA,3,NA
Exp3,P105_Exp3,NA,20,F,2,5,9,35,6,2,10,1,1928.55797431275,15,Low,286,NA,244,NA
Exp3,P105_Exp3,NA,20,F,2,5,9,36,5,1,9,1,836.293457038664,15,Low,266,NA,70,NA
Exp3,P105_Exp3,NA,20,F,2,5,10,37,7,3,11,1,1926.06070009424,15,Low,213,NA,247,NA
Exp3,P105_Exp3,NA,20,F,2,5,10,38,6,2,10,2,3592.95486734572,15,Low,203,NA,213,NA
Exp3,P105_Exp3,NA,20,F,2,5,10,39,5,1,9,1,4242.9712280682,15,Low,380,NA,356,NA
Exp3,P105_Exp3,NA,20,F,2,5,10,40,8,4,12,1,816.703453138871,15,Low,357,NA,66,NA
Exp3,P105_Exp3,NA,20,F,2,6,11,41,7,3,11,1,1214.51262552728,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,2,6,11,42,5,1,9,1,1789.99351608218,15,Low,340,NA,50,NA
Exp3,P105_Exp3,NA,20,F,2,6,11,43,6,2,10,1,671.999497707475,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,2,6,11,44,8,4,12,1,229.834352206126,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,2,6,12,45,7,3,11,1,1205.79978580099,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,2,6,12,46,5,1,9,1,1326.28896538608,15,Low,324,NA,13,NA
Exp3,P105_Exp3,NA,20,F,2,6,12,47,8,4,12,1,1066.11875349427,15,Low,390,NA,24,NA
Exp3,P105_Exp3,NA,20,F,2,6,12,48,6,2,10,1,286.934483454388,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,7,13,49,11,3,15,2,2958.2771373689,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,7,13,50,12,4,16,1,1536.2646597514,15,Low,220,NA,114,NA
Exp3,P105_Exp3,NA,20,F,3,7,13,51,10,2,14,1,876.30417904802,15,Low,310,NA,96,NA
Exp3,P105_Exp3,NA,20,F,3,7,13,52,9,1,13,1,257.199623763881,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,7,14,53,10,2,14,4,5194.79040766601,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,7,14,54,9,1,13,1,5325.35561933491,15,Low,584,NA,240,NA
Exp3,P105_Exp3,NA,20,F,3,7,14,55,11,3,15,1,5198.86006208617,15,Low,533,NA,164,NA
Exp3,P105_Exp3,NA,20,F,3,7,14,56,12,4,16,1,550.832646102208,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,8,15,57,10,2,14,1,1315.27173893301,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,8,15,58,9,1,13,1,647.049998610783,15,Low,387,NA,230,NA
Exp3,P105_Exp3,NA,20,F,3,8,15,59,12,4,16,2,1807.29935776617,15,Low,60,NA,594,NA
Exp3,P105_Exp3,NA,20,F,3,8,15,60,11,3,15,1,863.395206247333,15,Low,143,NA,296,NA
Exp3,P105_Exp3,NA,20,F,3,8,16,61,10,2,14,1,1217.47023374701,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,8,16,62,9,1,13,1,657.273337575134,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,8,16,63,12,4,16,1,1575.81655705144,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,8,16,64,11,3,15,1,521.606719607917,15,Low,677,NA,100,NA
Exp3,P105_Exp3,NA,20,F,3,9,17,65,12,4,16,2,5126.56317352139,15,Low,320,NA,243,NA
Exp3,P105_Exp3,NA,20,F,3,9,17,66,10,2,14,1,1018.55885573968,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,9,17,67,9,1,13,1,760.449129017616,15,Low,254,NA,296,NA
